ICAO_Code...1,Location_Name,Latitude,Longitude,Terr_code,ICAO Member State,ICAO_Code...7,...8,ICAO_Code...9,...10,...11,...12,...13,...14
LIPN,VERONA/BOSCOMANTICO,45.4730555555556,10.9269444444444,LI,Italy,LIPN,NA,HTTB,NA,NA,NA,NA,FERLACH-GLAINACH
ETNN,NOERVENICH,50.8311666666667,6.65816666666667,ET,Germany,ETNN,NA,HTTC,NA,NA,NA,NA,FERLACH-GLOCK (HEL)
ETNT,WITTMUNDHAFEN,53.5479138888889,7.6674,ET,Germany,ETNT,NA,HTTE,NA,NA,NA,NA,FERN GULLY (HELIPORT)
EDWJ,JUIST,53.6806666666667,7.05783333333333,ED,Germany,EDWJ,NA,HTTF,NA,NA,NA,NA,"FERNANDO DE NORONHA/FERNANDO DE NORONHA,PE"
PATK,TALKEETNA,62.3213694444444,-150.092716666667,PA,United States,PATK,NA,HTTG,NA,NA,NA,NA,FERNANDO ELETA
SBEK,"JACAREACANGA/JACAREACANGA,PA",-6.23527777777778,-57.7758333333333,SB,Brazil,SBEK,NA,HTTI,NA,NA,NA,NA,FERNANDO LUIS RIBAS DOMINICCI
TJMZ,EUGENIO MARIA DE HOSTOS,18.2556944444444,-67.1484722222222,TJ,United States,TJMZ,NA,HTTJ,NA,NA,NA,NA,FERNSIDE FIELDS
OBBS,BAHRAIN/ISA AIRBASE,25.9183638888889,50.5906,OB,Bahrain,OBBS,NA,HTTL,NA,NA,NA,NA,FERRARA
KDYS,DYESS AFB,32.4206166666667,-99.8546,KD,United States,KDYS,NA,HTTN,NA,NA,NA,NA,FERREIRA DO ALENTEJO
KVLA,VANDALIA MUNI,38.9914638888889,-89.1661888888889,KV,United States,KVLA,NA,HTTO,NA,NA,NA,NA,FERTOSZENTMIKLOS
LEGT,MADRID/GETAFE,40.2941666666667,-3.72361111111111,LE,Spain,LEGT,NA,HTTS,NA,NA,NA,NA,FES/SAISS
LFMZ,LEZIGNAN-CORBIERES,43.175,2.73277777777778,LF,France,LFMZ,NA,HTTU,NA,NA,NA,NA,FEURS-CHAMBEON
LFMO,ORANGE-CARITAT,44.14,4.86861111111111,LF,France,LFMO,NA,HTTV,NA,NA,NA,NA,FEYZABAD
LRTC,TULCEA/DELTA DUNARII,45.0627777777778,28.7144444444444,LR,Romania,LRTC,NA,HTTX,NA,NA,NA,NA,FIANARANTSOA
LFEA,BELLE-ILE,47.3261111111111,-3.19888888888889,LF,France,LFEA,NA,HTTY,NA,NA,NA,NA,FICKSBURG
EDMB,BIBERACH A.D.RISS,48.111,9.76283333333333,ED,Germany,EDMB,NA,HTTZ,NA,NA,NA,NA,FIEMME
EDFW,WUERZBURG-SCHENKENTURM,49.818,9.89716666666667,ED,Germany,EDFW,NA,HTUC,NA,NA,NA,NA,FIERY DOWNS
EDFL,GIESSEN-LUETZELLINDEN,50.5438333333333,8.59016666666667,ED,Germany,EDFL,NA,HTUF,NA,NA,NA,NA,FIFE
EGVA,FAIRFORD,51.6835194444444,-1.78999166666667,EG,United Kingdom,EGVA,NA,HTUG,NA,NA,NA,NA,FIG TREE (MARA)
CYWV,"WAINWRIGHT, AB",52.7965805555556,-110.858588888889,CY,Canada,CYWV,NA,HTUK,NA,NA,NA,NA,FIGARI-SUD-CORSE
EPBK,BIALYSTOK/KRYWLANY,53.1013888888889,23.1705555555556,EP,Poland,EPBK,NA,HTUN,NA,NA,NA,NA,FIGEAC-LIVERNON
PAPM,PLATINUM,59.0178305555556,-161.827191666667,PA,United States,PAPM,NA,HTUO,NA,NA,NA,NA,FIGUEIRA DE CAVALEIROS
NFTP,NIUATOPUTAPU,-15.9774194444444,-173.791544444444,NF,Tonga,NFTP,NA,HTUP,NA,NA,NA,NA,FILABUSI
WSSL,SINGAPORE/SELETAR,1.41695555555556,103.867644444444,WS,Singapore,WSSL,NA,HTUR,NA,NA,NA,NA,FILADELFIA
SBTS,"OBIDOS/TIRIOS, PA",2.22472222222222,-55.9425,SB,Brazil,SBTS,NA,HTUS,NA,NA,NA,NA,FINCA 10 O NUEVO PALMAR SUR/OSA
KMUL,SPENCE,31.1376861111111,-83.7040611111111,KM,United States,KMUL,NA,HTUT,NA,NA,NA,NA,FINCA 63 O COTO 63/PUNTARENAS
KGSB,SEYMOUR OHNSON  AFB,35.3393861111111,-77.9605944444445,KG,United States,KGSB,NA,HTUU,NA,NA,NA,NA,FINCA DELICIAS/OSA
KINS,CREECH AFB,36.5863416666667,-115.677369444444,KI,United States,KINS,NA,HTUV,NA,NA,NA,NA,FINCH HATTON
LPPM,PORTIMAO,37.1494444444444,-8.58388888888889,LP,Portugal,LPPM,NA,HTUW,NA,NA,NA,NA,FINCHA
LEHC,HUESCA/PIRINEOS,42.0808333333333,-0.323333333333333,LE,Spain,LEHC,NA,HTUZ,NA,NA,NA,NA,FINDLAY
KGNG,GOODING MUNI,42.9171666666667,-114.765166666667,KG,United States,KGNG,NA,HTWA,NA,NA,NA,NA,FINE GOLD CREEK
LFNA,GAP-TALLARD,44.4538888888889,6.03666666666667,LF,France,LFNA,NA,HTWB,NA,NA,NA,NA,FINSTERWALDE-HEINRICHSRUH
LFBK,MONTLUCON-GUERET,46.2261111111111,2.36277777777778,LF,France,LFBK,NA,HTWI,NA,NA,NA,NA,FINUCANE ISLAND
KRDR,GRAND FORKS AFB,47.9612805555556,-97.4008138888889,KR,United States,KRDR,NA,HTWK,NA,NA,NA,NA,FIONA STANLEY HOSPITAL
LZTN,TRENCIN,48.8641666666667,17.9922222222222,LZ,Slovakia,LZTN,NA,HTWS,NA,NA,NA,NA,FIQ AIRSTRIP
LKKT,KLATOVY,49.4183333333333,13.3219444444444,LK,Czechia,LKKT,NA,HTYA,NA,NA,NA,NA,FIRA M2 L' HOSPITALET (BARCELONA) (HEL)
CZPC,"PINCHER CREEK, AB",49.5204277777778,-113.997097222222,CZ,Canada,CZPC,NA,HTYO,NA,NA,NA,NA,FIRENZE/PERETOLA
EGHJ,BEMBRIDGE,50.6780555555556,-1.10944444444444,EG,United Kingdom,EGHJ,NA,HTYW,NA,NA,NA,NA,FIROZPUR
EGDY,YEOVILTON,51.0082694444444,-2.64549166666667,EG,United Kingdom,EGDY,NA,HTYY,NA,NA,NA,NA,FIRST LIGHT
CZML,"SOUTH CARIBOO/108 MILE, BC",51.7366,-121.332888888889,CZ,Canada,CZML,NA,HTZA,NA,NA,NA,NA,FISCALIA GENERAL DE LA NACION/ANTIOQUIA
ETHC,CELLE,52.5911666666667,10.0221666666667,ET,Germany,ETHC,NA,HUAD,NA,NA,NA,NA,FISCALIA GENERAL DE LA NACION/DISTRITO CAPITAL
EDXQ,ROTENBURG (WUEMME),53.1283333333333,9.34866666666667,ED,Germany,EDXQ,NA,HUAJ,NA,NA,NA,NA,FISHER
EPSU,SUWALKI,54.0741666666667,22.8936111111111,EP,Poland,EPSU,NA,HUAR,NA,NA,NA,NA,FISKVILLE
UUDL,YAROSLAVL/TUNOSHNA,57.5605555555556,40.1575,UU,Russian Federation,UUDL,NA,HUAT,NA,NA,NA,NA,FITZMAURICE RIVER
PAMD,MIDDLETON ISLAND,59.4499416666667,-146.307238888889,PA,United States,PAMD,NA,HUBG,NA,NA,NA,NA,FITZROY CROSSING
SAMM,MALARGUE/COM D. RICARDO SALOMON (MZA),-35.4936111111111,-69.5747222222222,SA,Argentina,SAMM,NA,HUBU,NA,NA,NA,NA,FJALLBACKA
NFTO,NIUAFO'OU,-15.5717888888889,-175.629436111111,NF,Tonga,NFTO,NA,HUEN,NA,NA,NA,NA,FLABOB
OIKM,BAM,29.0841666666667,58.4497222222222,OI,Iran (Islamic Republic of),OIKM,NA,HUGG,NA,NA,NA,NA,FLAGSTAFF PULLIAM
KBKT,ALLEN C PERKINSON BLACKSTONE AAF,37.0747666666667,-77.9565972222222,KB,United States,KBKT,NA,HUGU,NA,NA,NA,NA,FLAMINIO SUAREZ CAMACHO/CHIA
KBUM,BUTLER MEMORIAL,38.2897777777778,-94.3401388888889,KB,United States,KBUM,NA,HUJI,NA,NA,NA,NA,FLAT HILLS
KFRI,MARSHALL AAF,39.0553333333333,-96.7645,KF,United States,KFRI,NA,HUKB,NA,NA,NA,NA,FLAT POINT
LIED,DECIMOMANNU (MIL),39.35385,8.971725,LI,Italy,LIED,NA,HUKD,NA,NA,NA,NA,FLEETWOOD
