1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,...16,reordonnés pour match fct,...18,...19,...20,...21,...22,...23,...24,...25,for tests
NA,NA,ICAO_TYPE_CODE,AC_CATEGORY,EQV_TYPE,EQV_NAME,ICAO_ENGINE_DESC,CO2_COEFF,MASS,BAND_FROM_NM,BAND_TO_NM,BAND_FLOOR_NM,FUEL_TOT,FUEL_TOT_MARG_RATE,CORR_FACTOR,range 0,BreakPoint_1,BreakPoint_2,range 99999,Slope_1,Slope_2,Slope_3,Intercept_1,Intercept_2,Intercept_3,NB_equations
NA,NA,AP32,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,605,0,999999,0,NA,NA,1,0,999999,NA,999999,0.45557257469267698,NA,NA,168.02394071656599,NA,NA,1
NA,NA,AP36,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,845,0,999999,0,NA,NA,1,0,999999,NA,999999,0.47605280152568802,NA,NA,171.06102313684801,NA,NA,1
NA,NA,APM2,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,605,0,999999,0,NA,NA,1,0,999999,NA,999999,0.45557257469267698,NA,NA,168.02394071656599,NA,NA,1
NA,NA,ARVA,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,6845,0,999999,0,NA,NA,1,0,999999,NA,999999,1.00907931780217,NA,NA,117.073153561334,NA,NA,1
NA,NA,AS02,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,1125,0,999999,0,NA,NA,1,0,999999,NA,999999,0.499946399497534,NA,NA,174.60428596051099,NA,NA,1
NA,NA,AS16,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,720,0,999999,0,NA,NA,1,0,999999,NA,999999,0.465386016716828,NA,NA,169.47920937628399,NA,NA,1
NA,NA,AS20,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,525,0,999999,0,NA,NA,1,0,999999,NA,999999,0.44874583241500698,NA,NA,167.01157990980499,NA,NA,1
NA,NA,AS22,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,750,0,999999,0,NA,NA,1,0,999999,NA,999999,0.467946045070955,NA,NA,169.85884467881999,NA,NA,1
NA,NA,AS32,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,8662,0,999999,0,NA,NA,1,0,999999,NA,999999,1.1737969633488801,NA,NA,126.189407243749,NA,NA,1
NA,NA,AS3B,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,9197,0,999999,0,NA,NA,1,0,999999,NA,999999,1.2223349790906699,NA,NA,128.87573063839599,NA,NA,1
NA,NA,AS50,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,2220,0,999999,0,NA,NA,1,0,999999,NA,999999,0.58973581862827495,NA,NA,93.864700660902898,NA,NA,1
NA,NA,AS55,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,2508,0,999999,0,NA,NA,1,0,999999,NA,999999,0.61587471974171504,NA,NA,95.311351095583305,NA,NA,1
NA,NA,AS65,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,4185,0,999999,0,NA,NA,1,0,999999,NA,999999,0.76794778700827104,NA,NA,103.727794002252,NA,NA,1
NA,NA,ASTR,"Jet <43,3T",AO SAMPLE,ASTR,J,3.15,11001,0,999999,0,NA,NA,1,0,280,999999,999999,2.0281849132123999,1.3576417146661599,NA,176.09465433808899,363.846749931038,NA,2
NA,NA,AT3,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,3628,0,999999,0,NA,NA,1,0,999999,NA,999999,0.71353809851014505,NA,NA,206.278524702038,NA,NA,1
NA,NA,AT3P,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,3645,0,999999,0,NA,NA,1,0,999999,NA,999999,0.71498878124415,NA,NA,206.49365137347499,NA,NA,1
NA,NA,AT3T,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,2645,0,999999,0,NA,NA,1,0,999999,NA,999999,0.62830474299406003,NA,NA,95.999287381162105,NA,NA,1
NA,NA,AT43,Turbo Prop,AO SAMPLE,AT43,T,3.15,16816,0,999999,0,NA,NA,1,0,999999,NA,999999,1.7436706668789601,NA,NA,176.31828087330501,NA,NA,1
NA,NA,AT44,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,18000,0,999999,0,NA,NA,1,0,999999,NA,999999,2.0203802798663402,NA,NA,173.04333264474701,NA,NA,1
NA,NA,AT45,Turbo Prop,AO SAMPLE,AT45,T,3.15,18605,0,999999,0,NA,NA,1,0,150,999999,999999,2.6816068706955201,2.1429155831758502,NA,96.326923104340295,177.130616232291,NA,2
NA,NA,AT46,Turbo Prop,AO SAMPLE,AT46,T,3.15,18605,0,999999,0,NA,NA,1,0,160,999999,999999,2.6418240140921498,2.2494397249881199,NA,120.03866874179499,182.82015499843999,NA,2
NA,NA,AT5T,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,3714,0,999999,0,NA,NA,1,0,999999,NA,999999,0.72519563395958797,NA,NA,101.3616876184,NA,NA,1
NA,NA,AT6T,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,5780,0,999999,0,NA,NA,1,0,999999,NA,999999,0.91252576490440196,NA,NA,111.729423208505,NA,NA,1
NA,NA,AT72,Turbo Prop,AO SAMPLE,AT72,T,3.15,22065,0,999999,0,NA,NA,1,0,300,999999,999999,2.25016268729143,2.3811235590508302,NA,171.432717448343,132.14445592052499,NA,2
